ts,pair,open,high,low,close
2026-05-21 20:00:00+00:00,GBP_JPY,213.376,213.638,213.361,213.587
2026-05-21 21:00:00+00:00,GBP_JPY,213.589,213.705,213.493,213.577
2026-05-21 22:00:00+00:00,GBP_JPY,213.578,213.632,213.49,213.519
2026-05-21 23:00:00+00:00,GBP_JPY,213.519,213.598,213.458,213.5
2026-05-22 00:00:00+00:00,GBP_JPY,213.397,213.52,213.242,213.464
2026-05-22 01:00:00+00:00,GBP_JPY,213.463,213.565,213.448,213.559
2026-05-22 02:00:00+00:00,GBP_JPY,213.559,213.595,213.526,213.58
2026-05-22 03:00:00+00:00,GBP_JPY,213.584,213.631,213.504,213.569
2026-05-22 04:00:00+00:00,GBP_JPY,213.569,213.619,213.538,213.574
2026-05-22 05:00:00+00:00,GBP_JPY,213.574,213.593,213.481,213.514
2026-05-22 06:00:00+00:00,GBP_JPY,213.514,213.522,213.462,213.506
2026-05-22 07:00:00+00:00,GBP_JPY,213.506,213.624,213.489,213.614
2026-05-22 08:00:00+00:00,GBP_JPY,213.614,213.655,213.523,213.576
2026-05-22 09:00:00+00:00,GBP_JPY,213.581,213.591,213.464,213.57
2026-05-22 10:00:00+00:00,GBP_JPY,213.57,213.622,213.441,213.607
2026-05-22 11:00:00+00:00,GBP_JPY,213.607,213.729,213.539,213.573
2026-05-22 12:00:00+00:00,GBP_JPY,213.573,213.642,213.491,213.61
2026-05-22 13:00:00+00:00,GBP_JPY,213.61,213.677,213.533,213.573
2026-05-22 14:00:00+00:00,GBP_JPY,213.573,213.61,213.518,213.557
2026-05-22 15:00:00+00:00,GBP_JPY,213.557,213.733,213.489,213.726
2026-05-22 16:00:00+00:00,GBP_JPY,213.726,214.041,213.706,213.761
2026-05-22 17:00:00+00:00,GBP_JPY,213.761,213.79,213.549,213.721
2026-05-22 18:00:00+00:00,GBP_JPY,213.721,213.986,213.663,213.892
2026-05-22 19:00:00+00:00,GBP_JPY,213.892,214.007,213.87,213.975
2026-05-22 20:00:00+00:00,GBP_JPY,213.976,214.009,213.921,213.994
2026-05-22 21:00:00+00:00,GBP_JPY,213.994,214.009,213.947,213.983
2026-05-22 22:00:00+00:00,GBP_JPY,213.982,213.982,213.846,213.899
2026-05-22 23:00:00+00:00,GBP_JPY,213.899,213.928,213.694,213.817
2026-05-25 00:00:00+00:00,GBP_JPY,213.594,213.755,213.555,213.73
2026-05-25 01:00:00+00:00,GBP_JPY,213.73,214.227,213.73,214.226
2026-05-25 02:00:00+00:00,GBP_JPY,214.226,214.3,214.212,214.28
2026-05-25 03:00:00+00:00,GBP_JPY,214.284,214.291,214.155,214.175
2026-05-25 04:00:00+00:00,GBP_JPY,214.174,214.217,214.1,214.159
2026-05-25 05:00:00+00:00,GBP_JPY,214.16,214.18,214.061,214.072
2026-05-25 06:00:00+00:00,GBP_JPY,214.072,214.124,214.044,214.095
2026-05-25 07:00:00+00:00,GBP_JPY,214.095,214.226,214.085,214.192
2026-05-25 08:00:00+00:00,GBP_JPY,214.193,214.287,214.189,214.265
2026-05-25 09:00:00+00:00,GBP_JPY,214.265,214.327,214.186,214.298
